Doctor_ID,Doctor
1,Gregory Burns
2,Kevin Williamson
3,Pamela Edwards
4,Kristopher Rosales
5,Diane Foster
6,Ryan Huff
7,Shannon Russell
8,Jennifer Singleton
9,Charles Anderson
10,Donald May
11,Mark Brown
12,Russell Moore
13,April Guzman
14,Bonnie Mendez
15,Chelsea Pham
16,Monica Stout
17,Catherine Nguyen
18,Stephanie Tran
19,Paula Wells
20,Jacqueline Fields
21,Jonathan Cole
22,Michelle Sanchez
23,Robert Flores
24,Corey Webb
25,Brian George
26,William Parks
27,Kevin Alvarez
28,Brandon Lynch
29,Nicholas Reed
30,Carl Johnson
31,Valerie Perez
32,Anita Campbell
33,Scott Terry
34,Paige Tucker
35,Colleen Long
36,Lindsey Cooke
37,Alicia Vasquez
38,Rachel Johnson
39,Kevin Dean
40,Chad Freeman
41,Katrina Ortiz
42,Sarah Thomas
43,Melanie George
44,Andrea Roach
45,Dr. Christopher Sanders
46,Lori Miranda Md
47,Martha Smith
48,Melanie Orozco
49,Jamie Cox
50,Russell Gordon
51,Gerald Johnson
52,Jessica Cook
53,Patricia Bell
54,Rick Burns
55,Bruce Miller
56,Ana Bradley
57,Adam Jones
58,Mary Brown
59,Dawn Williams
60,Marilyn Simpson
61,Aaron Maxwell
62,Joanna Blake
63,Elizabeth Campbell
64,Stephen Terry
65,Anthony Moore
66,Timothy Martinez
67,Andrea Clark
68,Paige Gonzalez
69,Patrick Love
70,Wendy Nichols
71,Jennifer Miller
72,Catherine Malone
73,Andrea Browning
74,Emily Frank
75,Jennifer Newton
76,Maria Spencer
77,Shannon Roy
78,Alexis Knox
79,Taylor Torres
80,Dr. Joseph Mitchell
81,Samuel Wright
82,Clayton Riley
83,Dana Young
84,Veronica Simmons
85,Dennis Hayes
86,Patrick Robbins
87,Zachary Sanchez
88,Casey Robinson
89,Jason Patterson
90,Mrs. Annette Smith
91,Jeremy Hull
92,Shelby Walters
93,Annette Garcia
94,Tara Young
95,James Martinez
96,Dale Burns
97,Melissa Riley
98,Stephanie Stewart
99,Julie Montgomery
100,Amy Miller
101,Jonathan Crawford
102,Michael Branch
103,Matthew Johnson
104,Miranda Butler
105,Heidi Jefferson
106,Brian Donaldson
107,Ryan Williams
108,Ann Lynn
109,Stacey Smith
110,Kathryn Adams
111,Heather Young
112,Timothy Price
113,Jessica Morales
114,Robert Hunt
115,Kathryn Trujillo
116,Madeline Snow
117,Eddie Williams
118,Judy Fitzgerald
119,Christina Fowler
120,Douglas Pope
121,Nicholas Mills
122,Misty Good
123,Jonathan Thomas
124,Carolyn Valenzuela
125,Joshua Levy
126,David Bean
127,Darren Murphy
128,Erica Rowland
129,Robin Savage
130,Joseph Clark
131,Kaylee Russell
132,Blake Baldwin
133,Maureen Cooley
134,Gary Wilcox
135,Donna Taylor
136,Jason Williams
137,Steve Kelly
138,Daniel Durham
139,Amy Patton
140,Stacy Hernandez
141,Christine Warner Dvm
142,Robert Adams
143,Heather Foley
144,Emily Wilson
145,Nicole Johnson
146,James Olsen
147,Jennifer Burton
148,Larry Stewart
149,Aaron Turner
150,Matthew Oconnor
151,Preston Mercer
152,Amanda Montgomery
153,Kaitlyn Harris
154,Hailey Gomez
155,Linda Peterson
156,Jose Becker
157,Holly Townsend
158,Amanda Harris
159,Scott Snyder
160,Michael Anderson
161,Jasmine Thompson
162,Megan Jackson
163,Charles Diaz
164,Frank Wallace
165,Michael Davis
166,Sabrina Yang
167,Austin Perry
168,Amber Frazier
169,Linda Brown
170,Alexandra Howard
171,Jason Baker
172,Frank Whitney
